Sentence	Tag
打开熊猫看书	app
opera浏览器	app
钛备份	app
打开sky电话	app
帮我找菜单	app
找愤怒的小鸟	app
正韵打开相机	app
我把相机打开	app
上QQ我	app
打开uc浏览器v八	app
搜索QQ	app
打开qq登陆到聊天模式	app
打开个性闹钟	app
国际象棋开局	app
打开uc浏览器登录新浪网主页	app
搜索声控安卓软件	app
查找通讯录	app
打开天天动听播放站你名下	app
瓷我要上QQ	app
搜索游戏	app
搜索机锋市场	app
进入设置菜单	app
打开应用程序钱包	app
赶集	app
我想上qq了	app
音乐播放器	app
金山词霸	app
下载飞信	app
嗯打开相机	app
搜狗	app
打开uc浏览器	app
打开qq找杨佳艺	app
百度百科	app
帮我打开电话本	app
打开会说话的汤姆猫	app
搜索京东商城	app
打开酷狗并随机播放	app
打开天天动听并开始播放音乐	app
酷狗音乐盒	app
打开手机QQ恩	app
把我打开UC浏览器	app
打开应用漫画	app
启动qq浏览器	app
打开系统软件清理	app
把uc打开啊	app
打开相机我想你	app
开启通讯录	app
有道词典	app
帮我开捕鱼达人	app
打开搜狐微博	app
打开语音软件	app
下载汉化软件	app
搜索结束软件	app
怎么坐车去广州？	bus
从西安到石嘴山的汽车票。	bus
在菏泽怎么坐去北京的车。	bus
查看济南到东营的，汽车。	bus
宁波到杭州的汽车	bus
上海回合肥怎么坐汽车	bus
宁波到岳阳的汽车。	bus
从合肥到上海可以到哪坐车？	bus
太原到广州的车。	bus
合肥到上海可以到哪坐车？	bus
长沙到怀化的汽车。	bus
从温州到西安的汽车。	bus
上海到合肥怎么坐汽车？	bus
从中山到西安的汽车。	bus
九江到景德镇的汽车。	bus
从聊城到东营的车。	bus
吉林到大连的车。	bus
昭通到南昌的汽车。	bus
查一下运城到临汾的汽车。	bus
从杭州到黄山的汽车。	bus
温州到上海的车。	bus
上海到合肥可以到哪坐车	bus
济南去聊城的汽车。	bus
请查询天津市到哈尔滨的车。	bus
3的平方除以2的立方的商的倒数	calc
5的平方与3的3次方的和是多少	calc
2的2次方	calc
45的三次方	calc
15加上2的平方	calc
123和34的和等于多少	calc
你知不知道三十四加六十五等于多少	calc
3的平方除以2的立方的商减去4的平方根的立方	calc
6的平方	calc
4乘6乘七再除以二	calc
根号3是多少	calc
根号76	calc
3的平方除以2的立方的商等于多少	calc
125的立方根	calc
4的2次方根	calc
54的立方再加上35	calc
123和34的差等于多少	calc
帮我算一算45的平方根	calc
十二与32的积是多少	calc
23减去根号4	calc
2平方	calc
根下25	calc
4的平方根	calc
45与53的差是多少	calc
你好慢吗！	chat
你睡午觉吗	chat
可是我问你啥都听不懂啊	chat
库里是不是傻	chat
你觉得脚踏两只船怎么样	chat
哎你在干啥呢	chat
怎么分担	chat
长了什么?	chat
能想起我吗	chat
卖啥呀	chat
你会骂人么	chat
你最近干嘛呢	chat
对啊我也这么觉得	chat
有什么钱	chat
你不开心会做什么	chat
你认识吗	chat
哪年呀	chat
怎么对	chat
你还能做什么	chat
你不是猪吗	chat
你喜欢喝什么茶呀	chat
你喜欢听什么歌曲	chat
你开什么车	chat
这是啥	chat
能告诉我你的性别么	chat
你端午节放假么	chat
笨笨真的会聊天吗	chat
我觉得什么	chat
你和小冰有什么不一样	chat
怎么调用QA	chat
你说啥了	chat
那我长什么样	chat
你早上几点钟起床	chat
你说啥呢好恶心	chat
为什么你是机器人	chat
你是微软小冰吗	chat
你认识微软小冰吗	chat
有啥好吃	chat
怀化吃什么	chat
林芝吃什么	chat
喜欢男孩还是女孩	chat
我看你还是不太行	chat
干嘛去	chat
谁跟你说没对象了	chat
你喜欢吸毒吗	chat
哪去	chat
那你梦想是什么呢	chat
什么跌了	chat
什么新闻呢	chat
我不确定具体啥时间去呢	chat
你听说过这句名言吗	chat
你们什么搞笑剧	chat
出来约炮吗	chat
你认识xx吗	chat
你是不是爱上别人了	chat
不怕啥	chat
必须你说一句我说一句吗	chat
你什么时候死	chat
你这答复逻辑也是没谁了	chat
这个新闻有意思吗	chat
你读几年级了	chat
你想他干嘛	chat
准备好了吗？	chat
笨笨为什么不叫聪聪	chat
你去过赌场吗	chat
这么有趣啊	chat
你认识徐俊吗	chat
哪里	chat
海尔滨现在几度！	chat
妈妈说了什么	chat
你能识别语音吗	chat
从哪回来	chat
结婚了吗	chat
谁在和你对话	chat
你妹叫傻傻么	chat
刘一佳是谁	chat
王石的事你怎么看	chat
巩捷甫是谁	chat
要回应的这么贱么	chat
我上课骂了学生怎么办	chat
万里鹏是谁	chat
我问你怎么走	chat
是说我好吗我逗你玩儿	chat
李亚丽的工作是什么	chat
怎么看见的不可能	chat
问问你做什么呢	chat
我国是谁	chat
管我什么事	chat
长者也在吗	chat
不多不要紧都会什么	chat
宝宝你不是很小吗	chat
你是不是看不懂啊	chat
你在什么地方	chat
白天干什么	chat
午饭怎么办	chat
谁美	chat
你不喜欢哪个颜色	chat
谁告你我的名字的	chat
你有喜欢的人吗	chat
你告诉我为什么	chat
你也是什么	chat
孔宁是不是傻逼	chat
单个词是什么情况	chat
是不是只要我说话你就说话	chat
为什么欺负你	chat
你再给我推荐几本书	chat
爸爸妈妈你最喜欢谁	chat
绿色的啥	chat
怎么教你变聪明	chat
为什么要想你	chat
